ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꌩ ꑽ ꀜ | Chinese: 1. n. 刨花
ꌫ ꁌ ꁨ | Chinese: 1. adj. 值得
ꌫ ꄟ | Chinese: 1. n. 用法
ꌫ ꉂ ꌫ ꈾ | Chinese: 1. n. 用具；工具
ꌫ ꏦ | Chinese: 1. n. 使用规则
ꌬ | Chinese: 1. v. (1) 使用 (2) 花费 | 2. adj. 亮；发光
ꌬ ꀋ ꄿ | Chinese: 1. adv. 不一定；有可能；可能
ꌬ ꀮ ꌬ ꀏ | Chinese: 1. n. 餐具
ꌬ ꅍ | Chinese: 1. n. 用具；工具
ꌬ ꈧ | Chinese: 1. v. (1) 消费 (2) 使用
ꌬ ꌒ | Chinese: 1. adj. 好用；好使
ꌬ ꍩ | Chinese: 1. n. 用处
ꌭ | Chinese: 1. v. 抓；拿；放；握 | 2. adj. 结得多；成活率高
ꌭ ꏣ ꈬ | Chinese: 1. adj. 手紧（不乱花钱）
ꌱ ꃀ | Chinese: 1. n. (1) 儿媳妇（公公对儿媳称） (2) 外甥女（男称）；儿媳妇（男称）
ꌳ ꃈ ꅮ | Chinese: 1. n. 儿女；子女
ꌳ ꈄ | Chinese: 1. n. 英勇；勇猛
ꌳ ꉔ | Chinese: 1. adj. 勤劳；能干
ꌴ ꁮ ꌺ | Chinese: 1. n. 男子汉
ꌵ | Chinese: 1. v. (1) 结籽 (2) 招待 (3) 取（下） (4) 放下（包袱等背上背的东西）
ꌵ ꃤ | Chinese: 1. n. 招待物
ꌵ ꃥ | Chinese: 1. n. 宾客；主宾
ꌵ ꋏ | Chinese: 1. v. (1) 赴宴；作客（随客） (2) 款待
ꌵ ꏢ | Chinese: 1. v. 招待
ꌶ | Chinese: 1. aux. 必须；必要；（需）要；应该
ꌶ ꅉ | Chinese: 1. n. 学校
ꌶ ꌺ | Chinese: 1. n. 学生
ꌶ ꎖ | Chinese: 1. v. 考试
ꌷ | Chinese: 1. v. 学习
ꌷ ꁧ | Chinese: 1. n. 柱子
ꌷ ꐋ | Chinese: 1. n. 同学
ꌸ | Chinese: 1. aux. 必须；必要；（需）要；应该 | 2. v. (1) 击中 (2) 照射
ꌸ ꈌ | Chinese: 1. n. 伤口
ꌹ ꌺ | Chinese: 1. n. 微小物；小不点儿
ꌺ | Chinese: 1. n. (1) 儿子 (2) 男子；男孩 (3) 小点儿 | 2. gr. 子（名词后缀）
ꌺ ꂟ | Chinese: 1. n. 干儿子；养子
ꌺ ꂮ | Chinese: 1. adj. 注重仪表的小伙子；讲究
ꌺ ꃰ | Chinese: 1. n. 男子（尊称）
ꌺ ꅤ | Chinese: 1. n. 侄子
ꌺ ꅪ ꇬ ꅪ | Chinese: 1. n. 亲生子女
ꌺ ꇖ | Chinese: 1. n. 子孙
ꌺ ꇖ ꊂ ꋊ | Chinese: 1. n. 子孙后代
ꌺ ꇰ | Chinese: 1. adj. 傻瓜
ꌺ ꍸ | Chinese: 1. n. 孤儿
ꌺ ꏦ | Chinese: 1. n. （男的）身材
ꌺ ꑌ | Chinese: 1. v. 怀孕
ꌻ | Chinese: 1. n. 魔鬼
ꌻ ꉘ | Chinese: 1. n. 双胞胎
ꌻ ꌺ | Chinese: 1. n. 微小物
ꌻ ꑘ | Chinese: 1. n. 儿子（小）
ꌼ | Chinese: 1. v. 混；混合；混杂
ꌼ ꁙ | Chinese: 1. v. 混杂
ꌽ ꉩ | Chinese: 1. v. 变；天气变坏（指刮风、天阴和下小雨等）
ꌾ | Chinese: 1. v. (1) 惹；逗 (2) 竖 | 2. adj. 皱纹
ꌾ ꀖ | Chinese: 1. v. 惹
ꌿ | Chinese: 1. n. 大麦
ꌿ ꁧ | Chinese: 1. n. 杉树
ꌿ ꋚ | Chinese: 1. n. 大麦饭
ꌿ ꎺ ꅪ | Chinese: 1. n. 红豆杉
ꍀ | Chinese: 1. v. (1) 揉；撮；摩 (2) 摩；擦；涂；肖（毛皮） (3) （相）咬（指狗等） (4) 粘 (5) 蘸 | 2. cl. 厘
ꍀ ꂷ | Chinese: 1. n. 秤星
ꍀ ꆍ | Chinese: 1. v. 践踏；蹂躏
ꍀ ꈌ | Chinese: 1. n. （能捉住野兽的）猎狗
ꍂ | Chinese: 1. n. 尿；小便 | 2. cl. 辈子（段）时期 | 3. v. (1) （被火）烧烫 (2) 扎；刺（指荨麻扎人）
ꍁ | Chinese: 1. cl. 辈子（段）时期
ꍂ ꀧ | Chinese: 1. n. 膀胱
ꍂ ꇁ ꉹ ꅉ ꀕ | Chinese: 1. n. 辈子（文学语）
ꍃ | Chinese: 1. v. (1) 坠 (2) 咒骂
ꍃ ꏽ | Chinese: 1. v. 咒骂；诅咒
ꍄ ꇽ | Chinese: 1. adj. 伶俐
ꍅ | Chinese: 1. v. 压 | 2. adv. 整齐地 | 3. adj. 好；对
ꍅ ꆋ | Chinese: 1. v. 压；镇压
ꍅ ꊞ | Chinese: 1. v. （以强硬的语言）压人或施加压力
ꍅ ꍪ | Chinese: 1. n. 熨斗
ꍅ ꑓ | Chinese: 1. n. 羊
ꍆ | Chinese: 1. v. (1) 镶 (2) 驻；住；（临时）住宿 (3) 计较
ꍆ ꀺ | Chinese: 1. n. 木盆
ꍆ ꁍ | Chinese: 1. n. 阵地；营地
ꍆ ꄏ | Chinese: 1. n. 铡刀
ꍆ ꈌ | Chinese: 1. n. 宿营处
ꍆ ꐪ | Chinese: 1. n. 比例
ꍈ | Chinese: 1. v. (1) 给吃；喂（使动） (2) 焊（铁） | 2. cl. (1) 个 (2) 小点
ꍇ | Chinese: 1. cl. (1) 个 (2) 小点
ꍈ ꀮ | Chinese: 1. n. 蚱蜢
ꍈ ꁨ | Chinese: 1. v. 裂缝（指焊接处裂了）
ꍉ | Chinese: 1. v. 炸
ꍋ | Chinese: 1. n. 辔头
ꍋ ꁬ | Chinese: 1. n. （一种）马笼头
ꍋ ꂫ | Chinese: 1. n. 马缰绳
ꍌ | Chinese: 1. cl. 桌 | 2. v. 照（像）
ꍌ ꊪ | Chinese: 1. n. 桌子
ꍍ | Chinese: 1. v. (1) 嫌；嫌（脏） (2) 玷污 (3) 赚
ꍍ ꆀ | Chinese: 1. v. 玷污
ꍍ ꊵ | Chinese: 1. n. 利润；盈利
ꍏ | Chinese: 1. v. 翻耕
ꍏ ꇩ | Chinese: 1. n. 中国
ꍐ | Chinese: 1. v. (1) 围；包围 (2) 哄（使其做）
ꍑ | Chinese: 1. adj. 对；正确 | 2. adv. 可以；行 | 3. v. (1) 压 (2) 印（书） (3) 照（相） | 4. n. 露水
ꍑ ꈜ | Chinese: 1. n. 银河
ꍑ ꒉ | Chinese: 1. n. 露水
ꍓ | Chinese: 1. v. (1) 割 (2) 吹牛
ꍓ ꃯ | Chinese: 1. n. 毡袜
ꍓ ꇌ | Chinese: 1. v. 平面伸展（开）
ꍔ | Chinese: 1. v. (1) 迈开（大步） (2) 铺开；展开；摊开 | 2. n. 种 | 3. cl. 碗
ꍔ ꄅ | Chinese: 1. v. 繁殖（指牲畜）
ꍔ ꄻ | Chinese: 1. v. 展开
ꍔ ꆙ | Chinese: 1. v. 发展；铺开
ꍔ ꇸ | Chinese: 1. v. 使断种；使淘汰（指动物不好的品种）
ꍔ ꈹ | Chinese: 1. v. 选良种；找良种（多指牲畜）
ꍔ ꐈ | Chinese: 1. v. 变种（多指牲畜）
ꍕ | Chinese: 1. v. 缩
ꍕ ꑕ | Chinese: 1. v. 蜷曲
ꍖ ꀴ | Chinese: 1. v. 称赞；表扬
ꍗ | Chinese: 1. v. 夸奖；表扬
ꍘ | Chinese: 1. v. (1) 采（采蜜） (2) 泡水
ꍘ ꒉ | Chinese: 1. n. （有盐味的）矿泉水
ꍙ ꑻ | Chinese: 1. v. (1) 擦；磨 (2) 讨好（拉近关系） (3) 哄（小孩）
ꍚ | Chinese: 1. v. (1) 诓 (2) 鐾（刀）；钢（刀） | 2. adv. 径直
ꍚ ꇓ ꀕ | Chinese: 1. adv. (1) 径直（前往）；直通 (2) 乖巧地
ꍚ ꏠ | Chinese: 1. v. 磨擦（指把刀在石头或在缸沿上轻磨，或者擦枪等）
ꍛ ꄏ | Chinese: 1. adj. 瘦小
ꍜ ꇜ | Chinese: 1. v. (1) 发起 (2) 过问
ꍝ | Chinese: 1. v. 叫（带强制性） | 2. adj. 快
ꍞ | Chinese: 1. v. (1) 猛冲；投掷 (2) 依靠 (3) 指使；唆使；叫寻号
ꍞ ꀨ | Chinese: 1. n. 靠山；后盾（多指经济方面）
ꍞ ꅝ ꏽ | Chinese: 1. v. 投掷（矛、镖枪等）
ꍞ ꊟ | Chinese: 1. v. 组织；指挥；督促
ꍠ | Chinese: 1. v. 拔
ꍡ | Chinese: 1. v. 唱
ꍡ ꃆ ꄏ | Chinese: 1. n. 大刀（马刀）
ꍡ ꉙ | Chinese: 1. n. 歌
ꍡ ꌺ | Chinese: 1. n. 二茬树
ꍢ ꁻ | Chinese: 1. v. 捋（袖子等）；（往上）提（裤、裙子等）
ꍢ ꑴ | Chinese: 1. int. 喂（发语词，用来引起别人的注意）
ꍣ | Chinese: 1. v. (1) 议论 (2) 插 (3) （相）差 (4) 提
ꍣ ꂷ | Chinese: 1. n. 米粒
ꍣ ꃈ | Chinese: 1. adj. 满满的
ꍣ ꅍ | Chinese: 1. n. 差距
ꍣ ꋚ | Chinese: 1. n. 大米饭
ꍣ ꏬ | Chinese: 1. n. 稀饭
ꍤ | Chinese: 1. v. 查
ꍤ ꁆ | Chinese: 1. n. 身边；这边
ꍤ ꄻ | Chinese: 1. v. 检查
ꍦ ꃿ | Chinese: 1. v. 抠
ꍦ ꇙ | Chinese: 1. v. 盖好（被子）
ꍧ | Chinese: 1. v. 抠 | 2. adv. 快
ꍧ ꇅ ꀮ | Chinese: 1. adj. 精干；标致
ꍨ | Chinese: 1. int. 给…（表示给予的行为是从说话者到听话者的方向进行）
ꍩ | Chinese: 1. n. (1) 枪 (2) 锡 | 2. v. 贬低；触弄
ꍩ ꂷ | Chinese: 1. n. 弹头
ꍩ ꃚ | Chinese: 1. n. 枪声
ꍩ ꃛ | Chinese: 1. n. 水壶（行军壶）
ꍩ ꍬ | Chinese: 1. n. 臭虫
ꍩ ꐛ | Chinese: 1. n. 步枪
ꍫ | Chinese: 1. v. 缭
ꍫ ꍪ | Chinese: 1. n. 早饭和晚饭（文学语）
ꍬ | Chinese: 1. gr. (1) 过（桥）；沿 (2) 按照 | 2. v. 矫正 | 3. n. 早餐；早饭
ꍬ ꃪ | Chinese: 1. v. (1) 打圆场；调停；斡旋 (2) 矫正
ꍬ ꎃ | Chinese: 1. adj. 矫正
ꍬ ꏦ | Chinese: 1. n. 纪律
ꍭ | Chinese: 1. v. 匀苗
ꍭ ꋚ | Chinese: 1. n. 智谋；潜质（多指个人）
ꍮ ꉘ | Chinese: 1. n. 米糊糊
ꍮ ꊏ | Chinese: 1. n. 稻芒
ꍮ ꊪ | Chinese: 1. n. 车子
ꍮ ꌦ | Chinese: 1. n. 谷子（稻谷）
ꍮ ꐯ | Chinese: 1. n. 碎米
ꍮ ꑗ | Chinese: 1. n. 糯米
ꍮ ꒉ | Chinese: 1. n. 米汤
ꍯ | Chinese: 1. n. (1) 稻子 (2) 水稻 (3) 丝（指木料起丝了）；（木头）起纤 | 2. v. (1) 被拐 (2) 私奔
ꍯ ꃅ | Chinese: 1. n. 稻田
ꍯ ꅪ | Chinese: 1. n. 红米
ꍯ ꆥ | Chinese: 1. n. 秧苗
ꍯ ꇕ | Chinese: 1. n. 稻种
ꍯ ꇢ | Chinese: 1. n. 中稻
ꍯ ꈑ ꉒ | Chinese: 1. n. 细糠
ꍯ ꏜ | Chinese: 1. n. 早稻
ꍯ ꏭ | Chinese: 1. n. 秕壳
ꍯ ꐎ | Chinese: 1. n. 大米；白米
ꍰ | Chinese: 1. v. 叉（腿）
ꍰ ꄖ | Chinese: 1. n. 成都（地名）
ꍰ ꄻ | Chinese: 1. v. 检查
ꍰ ꆗ | Chinese: 1. v. 调查
ꍲ | Chinese: 1. n. 刺
ꍴ ꅐ | Chinese: 1. n. 秋末
ꍵ | Chinese: 1. n. 秋
ꍵ ꃃ | Chinese: 1. n. 初秋
ꍵ ꈾ | Chinese: 1. n. 秋荞
ꍵ ꊂ | Chinese: 1. n. 秋茬地
ꍵ ꎭ | Chinese: 1. n. 秋羊毛
ꍶ | Chinese: 1. n. 山羊
ꍶ ꁮ | Chinese: 1. n. 公山羊
ꍶ ꃀ | Chinese: 1. n. 母山羊
ꍶ ꄧ ꁮ | Chinese: 1. n. 小公山羊
ꍶ ꈄ ꃀ | Chinese: 1. n. 小母山羊
ꍶ ꌺ | Chinese: 1. n. 山羊羔
ꍶ ꎭ | Chinese: 1. n. 骟山羊
ꍷ ꋖ | Chinese: 1. v. 剁
ꍸ | Chinese: 1. v. (1) 砍 (2) 遗（产）；遗（孤） | 2. adj. 孤
ꍸ ꇐ | Chinese: 1. n. 遗产
ꍹ | Chinese: 1. v. (1) 织（布） (2) 扯（布） | 2. cl. 尺
ꍹ ꅿ | Chinese: 1. adj. 发臭（物腐烂）
ꍹ ꏿ | Chinese: 1. v. 发霉（使动）
ꍹ ꐛ | Chinese: 1. v. 腐烂
ꍺ ꇽ | Chinese: 1. v. (1) 撕（纸等） (2) 扯（商量）
ꍻ | Chinese: 1. v. (1) 撕（纸等） (2) 绷 (3) 出芽；生长 (4) 拱（圈） (5) 盯
ꍼ ꈘ | Chinese: 1. adj. 排列整齐
ꍽ ꏿ | Chinese: 1. n. 雀斑
ꍿ | Chinese: 1. n. 强盗
ꍿ ꀨ | Chinese: 1. n. 匪首；祸首
ꍿ ꆈ | Chinese: 1. n. 冕宁（地名）
ꍿ ꌸ | Chinese: 1. v. 被盗
ꍿ ꎧ | Chinese: 1. n. 绑匪
ꎀ | Chinese: 1. v. 编织
ꎀ ꍹ | Chinese: 1. n. 组织
ꎁ | Chinese: 1. v. 代替 | 2. n. 份儿
ꎁ ꃅ | Chinese: 1. adv. 替；为（人）
ꎁ ꅇ | Chinese: 1. n. 代词
ꎂ | Chinese: 1. adv. 直接 | 2. v. 迁就；让
ꎂ ꀕ | Chinese: 1. adv. (1) 就事论事 (2) 必定；必然
ꎃ | Chinese: 1. adj. 正；直
ꎃ ꀕ | Chinese: 1. n. 平民
ꎃ ꊐ | Chinese: 1. v. 顶替
ꎃ ꊐ ꊿ | Chinese: 1. n. 代理人
ꎃ ꊒ | Chinese: 1. adj. 正确
ꎃ ꏅ | Chinese: 1. adj. 笔直
ꎃ ꐚ | Chinese: 1. adj. 普通；一般
ꎃ ꑐ | Chinese: 1. adj. 直（竹、木）
ꎄ | Chinese: 1. v. 缺（口子等） | 2. n. 碎屑
ꎆ | Chinese: 1. v. (1) 排列 (2) 增长；超过 | 2. cl. 行；排 | 3. n. (1) 牲畜 (2) 钱财
ꎅ | Chinese: 1. cl. 行；排
ꎆ ꀨ | Chinese: 1. n. 本金
ꎆ ꀵ | Chinese: 1. v. 罚款
ꎆ ꃀ | Chinese: 1. n. 钱；货币
ꎆ ꃀ ꊐ ꅍ | Chinese: 1. n. 钱包
ꎆ ꃅ | Chinese: 1. n. 牧场
ꎆ ꆫ | Chinese: 1. v. 放牧
ꎆ ꆫ ꁍ | Chinese: 1. n. 草场
ꎆ ꇌ | Chinese: 1. adj. 排列整齐
ꎆ ꈠ | Chinese: 1. n. 巨款
ꎆ ꈤ | Chinese: 1. v. 早晨赶牲畜上山
ꎆ ꉻ | Chinese: 1. n. 畜圈
ꎆ ꊋ | Chinese: 1. n. 财力
ꎆ ꋚ | Chinese: 1. n. 财产（除土地、房屋外）
ꎆ ꏣ | Chinese: 1. n. 经济；钱财；金钱
ꎇ | Chinese: 1. v. 举；伸（手、脚等）
ꎇ ꃀ | Chinese: 1. n. 牲畜
ꎇ ꃀ ꍅ ꑓ | Chinese: 1. n. 牲畜
ꎇ ꈻ | Chinese: 1. v. 伸懒腰
ꎈ | Chinese: 1. cl. 囤
ꎊ ꈬ | Chinese: 1. n. 家什；家具；东西；物品
ꎋ | Chinese: 1. n. 筷子
ꎌ ꅉ ꒃ | Chinese: 1. adj. 稳定；稳住
ꎍ | Chinese: 1. v. (1) 有；在（指物） (2) 躺 | 2. n. 囤
ꎍ ꐽ | Chinese: 1. adj. 稳定；平稳
ꎍ ꑳ | Chinese: 1. n. 篾笆（墙）房
ꎎ | Chinese: 1. v. 瞪眼 | 2. adj. 斜；偏
ꎎ ꊞ | Chinese: 1. v. 瞪白眼
ꎏ ꅐ | Chinese: 1. v. 起棱角
ꎏ ꌦ | Chinese: 1. adj. （因笑而）露牙
ꎏ ꐡ | Chinese: 1. adj. 破旧；破烂（多指衣服、房子等）
ꎐ | Chinese: 1. n. (1) 牙齿 (2) 角；棱角
ꎐ ꁥ | Chinese: 1. n. 后臼齿（尽头牙）
ꎐ ꁮ ꋠ | Chinese: 1. n. 虫牙
ꎐ ꂷ | Chinese: 1. n. 牙齿
ꎐ ꊰ ꄗ | Chinese: 1. n. 牙膏
ꎐ ꋌ | Chinese: 1. v. 刷牙
ꎐ ꋌ ꅍ | Chinese: 1. n. 牙刷
ꎐ ꐴ | Chinese: 1. n. 齿根（牙根）
ꎑ | Chinese: 1. v. (1) 悬挂；长在；附着 (2) 带
ꎑ ꁠ | Chinese: 1. v. (1) 牵连；联系 (2) 附庸
ꎓ | Chinese: 1. v. （衣服、纸张等）烂
ꎔ | Chinese: 1. adj. (1) 好 (2) 漂亮；美丽 (3) （牲畜）肥壮 (4) 干净
ꎔ ꃅ | Chinese: 1. adv. 认真地；好好地
ꎔ ꃨ | Chinese: 1. adj. 美丽；漂亮
ꎔ ꎗ | Chinese: 1. adj. 好好地；认真（强式）
ꎕ ꏦ | Chinese: 1. n. 尺度；标准
ꎖ | Chinese: 1. v. (1) 试；试验 (2) 量 | 2. n. 考试；测试；测验 | 3. adj. 多；余
ꎖ ꃨ ꅑ | Chinese: 1. v. 过头；过火
ꎖ ꄎ | Chinese: 1. v. 规划
ꎖ ꅇ | Chinese: 1. n. 量词
ꎖ ꅍ | Chinese: 1. n. 量具；尺子
ꎖ ꉚ | Chinese: 1. n. 试验；测验
ꎖ ꋪ | Chinese: 1. n. 经验
ꎖ ꑞ | Chinese: 1. v. 计划
ꎙ | Chinese: 1. v. (1) 越（期） (2) 塞；堵（桶底等） (3) 楦；撑（指东西装满后，把空隙的地方使劲填紧） | 2. n. (1) 楔子（多指锄头等） (2) 午饭
ꎙ ꅇ | Chinese: 1. n. 助词
ꎛ | Chinese: 1. v. 累伤；痨伤（多指牛）
ꎛ ꁮ | Chinese: 1. v. 缺损
ꎝ | Chinese: 1. n. 帐 | 2. v. 让
ꎝ ꁭ | Chinese: 1. v. 欠债
ꎝ ꃅ | Chinese: 1. v. 赊账
ꎝ ꄉ | Chinese: 1. v. 欠（款）；宽延
ꎝ ꈣ | Chinese: 1. n. 债务
ꎝ ꎿ | Chinese: 1. v. 流产
ꎞ | Chinese: 1. v. 退却
ꎞ ꃀ | Chinese: 1. n. 庶女
ꎞ ꌺ | Chinese: 1. n. 庶子
ꎟ | Chinese: 1. v. (1) 打（荞麦等） (2) 接触；沾边 | 2. n. 锈
ꎟ ꀻ | Chinese: 1. n. 桨
ꎟ ꃀ | Chinese: 1. n. 野红薯
ꎟ ꄜ | Chinese: 1. v. (1) 考验 (2) 锻炼
ꎟ ꋠ | Chinese: 1. v. 生锈；出锈
ꎟ ꒃ | Chinese: 1. adj. 生锈（轻微）
ꎠ ꁏ | Chinese: 1. n. （陪嫁）女仆
ꎡ | Chinese: 1. v. 镶嵌
ꎤ | Chinese: 1. v. 锁
ꎤ ꁉ | Chinese: 1. n. 锁
ꎤ ꁉ ꀕ ꅍ | Chinese: 1. n. 钥匙
ꎤ ꂷ | Chinese: 1. n. 锁
ꎤ ꆈ ꃮ ꐔ | Chinese: 1. n. 大锁
ꎤ ꇺ | Chinese: 1. n. 门扣儿
ꎤ ꉐ | Chinese: 1. n. 锁芯；锁簧
ꎥ | Chinese: 1. v. 扯；撕（多指羊毛等）
ꎥ ꃪ | Chinese: 1. v. (1) 研究 (2) 分析
ꎦ ꀑ ꐎ | Chinese: 1. n. 醪糟
ꎦ ꀜ | Chinese: 1. n. 酒糟
ꎧ | Chinese: 1. n. 酒 | 2. v. 捅
ꎧ ꀽ | Chinese: 1. v. 酒精中毒
ꎧ ꌉ | Chinese: 1. v. 捅；刺；戳
ꎧ ꌗ | Chinese: 1. n. 酒气
ꎧ ꏸ | Chinese: 1. n. 酒（文学语）
ꎧ ꑱ | Chinese: 1. v. 酒醉
ꎧ ꒉ | Chinese: 1. n. 米酒（也叫泡水酒）
ꎪ | Chinese: 1. v. (1) （用细条物）捅 (2) （鸟）叫 (3) 踩；践踏
ꎫ | Chinese: 1. v. 捆；勒
ꎬ ꄵ | Chinese: 1. n. 子弹
ꎬ ꅧ | Chinese: 1. adj. 辛苦；劳累
ꎬ ꆖ | Chinese: 1. n. 豌豆
ꎬ ꐚ | Chinese: 1. n. 糖
ꎭ | Chinese: 1. adj. (1) 贫苦；贫穷 (2) 辛苦 | 2. v. (1) 浇（水）；撒（肥）；泼 (2) 寄 | 3. n. (1) 羊毛 (2) 毛线 (3) 小麦 (4) 送（人）
ꎭ ꁁ | Chinese: 1. n. 毛料裙
ꎭ ꁱ | Chinese: 1. n. 羊毛（指剪下的羊毛）
ꎭ ꁻ | Chinese: 1. v. 弹羊毛
ꎭ ꂷ | Chinese: 1. n. 麦粒
ꎭ ꂾ | Chinese: 1. n. 面（面粉）
ꎭ ꃃ | Chinese: 1. n. 面条
ꎭ ꃅ ꉈ | Chinese: 1. v. 同情；怜悯；可怜
ꎭ ꃚ | Chinese: 1. n. (1) 挨揍；厉害（指教训人的方法） (2) 麦粑
ꎭ ꃚ ꅿ | Chinese: 1. v. 揍；打
ꎭ ꃪ | Chinese: 1. n. 烙饼
ꎭ ꃬ ꀊ ꂂ | Chinese: 1. n. 鹌鹑
ꎭ ꃹ | Chinese: 1. n. （纺线）坠子
ꎭ ꆺ | Chinese: 1. n. 羊毛团
ꎭ ꇤ | Chinese: 1. n. 锅架
ꎭ ꈓ | Chinese: 1. n. 运气；命运
ꎭ ꈜ | Chinese: 1. n. 篦子
ꎭ ꊂ | Chinese: 1. n. 遗麦
ꎭ ꊏ | Chinese: 1. n. 麦芒
ꎭ ꋉ | Chinese: 1. n. 连汤肉
ꎭ ꋊ | Chinese: 1. v. 掐
ꎭ ꋐ | Chinese: 1. n. 辣椒
ꎭ ꋩ | Chinese: 1. v. 纺（毛线）
ꎭ ꌺ | Chinese: 1. n. 穷人
ꎭ ꏦ | Chinese: 1. n. 羊毛长度
ꎭ ꏬ | Chinese: 1. n. 麦粑（煮的）
ꎭ ꏿ | Chinese: 1. adj. 辛苦 | 2. v. 擀毡
ꎭ ꐡ | Chinese: 1. n. 砣砣肉
ꎭ ꐪ | Chinese: 1. n. 苦情
ꎭ ꑐ | Chinese: 1. n. 羊毛
ꎮ ꂄ | Chinese: 1. n. 毡褂
ꎮ ꆞ | Chinese: 1. n. 童裙
ꎮ ꑑ ꅉ | Chinese: 1. adj. 可怜
ꎯ ꂷ | Chinese: 1. n. 杜鹃花；映山红
ꎰ | Chinese: 1. v. (1) 刮 (2) 擦
ꎰ ꃱ | Chinese: 1. n. 青菜
ꎰ ꆳ | Chinese: 1. n. 北风；朔风
ꎱ ꇔ ꐆ | Chinese: 1. v. 反感
ꎲ | Chinese: 1. adj. 羞 | 2. v. 忌讳
ꎲ ꁨ | Chinese: 1. adj. 知耻
ꎲ ꄏ | Chinese: 1. adj. 害羞
ꎳ ꅉ | Chinese: 1. n. 借口
ꎳ ꌺ | Chinese: 1. n. 水獭
ꎳ ꑆ | Chinese: 1. n. 水獭皮
ꎴ | Chinese: 1. v. (1) 收（庄稼） (2) 装；假装 (3) 借口 (4) 推托；推卸；嫁祸；推脱 (5) 依赖 | 2. adj. 长；远（文学语）
ꎴ ꁧ | Chinese: 1. n. 蓑衣
ꎴ ꃅ | Chinese: 1. v. 假装
ꎴ ꄉ | Chinese: 1. adj. 变相地
ꎵ | Chinese: 1. v. (1) （细而轻）倒；干（杯） (2) 像…一样长（指长度） (3) 铸 (4) 夜行 (5) 理；疏通
ꎵ ꃀ | Chinese: 1. n. 炒面（多指燕麦炒面）
ꎵ ꃼ ꅑ | Chinese: 1. adj. 有点小毛病
ꎵ ꅝ | Chinese: 1. v. 一饮而尽
ꎵ ꏦ | Chinese: 1. n. 铸模具
ꎵ ꑳ | Chinese: 1. adj. 长而直
ꎷ ꅉ | Chinese: 1. n. 大而平地；大块旱地
ꎷ ꈌ | Chinese: 1. n. 猎狗
ꎷ ꈜ | Chinese: 1. n. 铁路
ꎷ ꋏ ꅻ ꄂ | Chinese: 1. n. 紫菀茸（草药名）
ꎷ ꋒ | Chinese: 1. n. 生铁
ꎷ ꋩ | Chinese: 1. v. 打铁
ꎷ ꑐ | Chinese: 1. n. 火钳
ꎷ ꒉ | Chinese: 1. n. 铁水
ꎸ | Chinese: 1. n. (1) 虱子 (2) 肉 | 2. v. (1) 揍 (2) 剐 (3) 划割；拉（口子）割
ꎸ ꀏ | Chinese: 1. n. 刮铲
ꎸ ꀺ | Chinese: 1. n. 木盘（肉盘）
ꎸ ꃅ | Chinese: 1. v. 宰杀（宰、割、煮的全过程）
ꎸ ꃚ | Chinese: 1. v. 烧 | 2. n. 烧肉
ꎸ ꄂ | Chinese: 1. n. 铁墩；铁砧（打铁用）
ꎸ ꄑ ꃀ | Chinese: 1. n. 早晨
ꎸ ꅍ | Chinese: 1. n. 铁
ꎸ ꅍ ꃆ ꀞ | Chinese: 1. n. 自行车
ꎸ ꅍ ꈝ ꃀ | Chinese: 1. n. 铁路
ꎸ ꅣ ꇁ ꄵ | Chinese: 1. n. 铁锤
ꎸ ꇺ | Chinese: 1. n. 铁钉
ꎸ ꉗ | Chinese: 1. n. 铁链
ꎸ ꊩ | Chinese: 1. v. 淬火
ꎸ ꍀ | Chinese: 1. n. 火星（铁、钢花）
ꎸ ꎄ | Chinese: 1. n. 肉渣渣
ꎸ ꑟ | Chinese: 1. n. 铁丝
ꎹ | Chinese: 1. v. 找；寻
ꎹ ꄃ | Chinese: 1. n. 冻肉
ꎹ ꄓ ꐯ ꑎ | Chinese: 1. n. 早上（文学语）
ꎹ ꅔ ꉆ ꋌ | Chinese: 1. n. 凉拌肝肚
ꎹ ꈹ | Chinese: 1. v. 寻找；搜寻
ꎹ ꌧ | Chinese: 1. n. 瘦肉
ꎹ ꏽ | Chinese: 1. n. 虮子（虱子的卵）
ꎹ ꒉ | Chinese: 1. n. 肉汤
ꎺ | Chinese: 1. v. (1) 记 (2) 收拢（袋子口） | 2. n. 柏杉
ꎺ ꁧ | Chinese: 1. n. 柏杉
ꎺ ꁯ | Chinese: 1. n. 松明
ꎺ ꄅ | Chinese: 1. v. 纪念
ꎺ ꄅ ꃅ ꑍ | Chinese: 1. n. 纪念日
ꎺ ꇊ ꐝ ꄧ ꀕ | Chinese: 1. adj. 记忆犹新
ꎺ ꏣ | Chinese: 1. n. 记忆力
ꎺ ꑌ ꃱ ꇌ | Chinese: 1. n. 孔雀
ꎻ ꄟ ꈳ ꄟ | Chinese: 1. n. (1) 行迹 (2) 行为
ꎻ ꈁ | Chinese: 1. v. 以为；认为
ꎻ ꈴ | Chinese: 1. v. 来往
ꎼ | Chinese: 1. v. 干；搞 | 2. n. 野鸡 | 3. gr. 把；递给（致使移位，常与宾语后的动词搭配使用）
ꎼ ꃅ ꃏ ꑽ | Chinese: 1. v. 作恶
