above | Yi: n. [ꄩ tot]
southwest | Yi: n. [ꀊ ꃀ ꅑ a mop ndit]
sow (plant) | Yi: v. [ꋦ zzur], [ꃹ vur]
sow (pig) | Yi: n. [ꋋ ꂵ cyx mat]
sown | Yi: [past participle of "sow"]
soybean | Yi: n. [ꀉ ꑙ ax nyut]
space | Yi: n. [ꄹ ddip], [ꈚ ggat], [ꀀ ꃅ it mu]
spacious | Yi: adj. [ꇰ ge], [ꁖ bbit]
spade | Yi: n. [ꐎ qu]
span | Yi: n. [ꈚ ggat]
span | Yi: v. [ꄣ ta]
spank | Yi: v. [ꀨ bop]
spare (save) | Yi: v. [ꊏ zi]
spare (extra) | Yi: adj. [ꊂ wa]
spark | Yi: n. [ꂿ ꁧ mo bbo]
spark | Yi: v. [ꀉ ꃅ ax mu]
sparkle | Yi: v. [ꀉ ꃅ ax mu]
sparrow | Yi: n. [ꀉ ꅪ ax hni], [ꅪ hni]
sparse | Yi: adj. [ꀁ ꑌ ix nyi]
spat | Yi: [past tense of "spit"]
spatter | Yi: v. [ꀱ bur]
speak | Yi: v. [ꊂ wa], [ꅇ ddop], [ꂘ hmat]
spear | Yi: n. [ꂂ hmip]
spear | Yi: v. [ꏣ jip]
special | Yi: adj. [ꄂ ꆼ di liex], [ꋑ ꀜ nyix bie]
species | Yi: n. [ꁥ bbot], [ꋊ cyt]
specify | Yi: v. [ꄜ ti], [ꄂ di]
specimen | Yi: n. [ꆈ ꁱ nuo bbur]
speck | Yi: n. [ꁧ ꆽ bbo lie]
spectre | Yi: [see "specter"]
speculate | Yi: v. [ꄤ tap], [ꉂ mgu]
speech | Yi: n. [ꊂ ꁧ wa bbo], [ꅇ ꈌ ddop ke]
speed | Yi: n. [ꊸ ca]
speed | Yi: v. [ꋑ nyix], [ꇨ ꊸ guo ca]
speedy | Yi: adj. [ꊸ ca], [ꇨ ꊸ guo ca]
spell (period) | Yi: n. [ꉈ hxi]
spell (words) | Yi: v. [ꁱ ꂷ bbur ma]
spend | Yi: v. [ꆹ li], [ꐭ jjy]
spent | Yi: [past tense of "spend"]
spew | Yi: v. [ꐯ jjy], [ꁌ pu]
sphere | Yi: n. [ꄩ tox]
spice | Yi: n. [ꋐ zzit]
spice | Yi: v. [ꎭ sha]
spicy | Yi: adj. [ꎭ sha]
spider | Yi: n. [ꀊ ꀍ a uo]
spike | Yi: n. [ꆸ lix]
spill | Yi: v. [ꀱ bur], [ꁌ pu]
spin | Yi: v. [ꄩ tox], [ꈩ ggep]
spinach | Yi: n. [ꃅ ꋐ mu zzit]
spine | Yi: n. [ꁮ ꇷ bbu gur]
spirit | Yi: n. [ꃶ vu]
spit (saliva) | Yi: v. [ꐯ jjy], [ꁌ pu]
spit (rod) | Yi: n. [ꆸ lix]
spite | Yi: n. [ꁉ ꑣ pop xie]
spittle | Yi: n. [ꑍ nyip]
splash | Yi: v. [ꀱ bur]
spleen | Yi: n. [ꃻ ꃅ vyx mu]
splendid | Yi: adj. [ꉾ he], [ꄮ te]
splendour | Yi: [see "splendor"]
splice | Yi: v. [ꅋ ddut]
splinter | Yi: n. [ꁧ ꆽ bbo lie]
splinter | Yi: v. [ꁁ pa]
split | Yi: v. [ꁁ pa], [ꋲ nzie]
spoil | Yi: v. [ꇤ ga], [ꃙ fux]
spoke | Yi: [past tense of "speak"]
spoken | Yi: [past participle of "speak"]
spoon | Yi: n. [ꐔ qy]
sport | Yi: n. [ꏢ ji]
sport | Yi: v. [ꏢ ji]
spot | Yi: n. [ꄹ ddip], [ꈚ ggat]
spot | Yi: v. [ꆈ nuo]
spouse | Yi: n. [ꁱ ꁧ bbur bbo]
spout | Yi: v. [ꁌ pu]
sprain | Yi: v. [ꄖ dux]
sprang | Yi: [past tense of "spring"]
sprawl | Yi: v. [ꄚ tit]
spray | Yi: n. [ꂿ ꁧ mo bbo]
spray | Yi: v. [ꀱ bur]
spread | Yi: v. [ꀱ bur], [ꄖ dux], [ꌋ si]
spread out | Yi: v. [ꀱ bur], [ꄳ tup]
spring (season) | Yi: n. [ꈚ ggat]
spring (water source) | Yi: n. [ꎿ ꃀ shur mop]
spring (jump) | Yi: v. [ꑇ njyp], [ꃃ ꄜ mut ti]
springtime | Yi: [see "spring (season)"]
sprinkle | Yi: v. [ꀱ bur]
sprint | Yi: v. [ꋑ nyix]
sprout | Yi: n. [ꁬ ꌺ bbut sse]
sprout | Yi: v. [ꃃ ꄜ mut ti]
sprung | Yi: [past participle of "spring"]
spun | Yi: [past tense of "spin"]
spur | Yi: n. [ꃀ ꅉ mop dde]
spur | Yi: v. [ꐏ qup]
spurn | Yi: v. [ꀐ ꆹ ox li]
spurt | Yi: v. [ꁌ pu]
spy | Yi: n. [ꆈ ꁈ nuo po]
spy | Yi: v. [ꆈ nuo]
squabble | Yi: v. [ꁉ pop]
squander | Yi: v. [ꐭ jjy]
squash | Yi: v. [ꇠ gie]
squat | Yi: v. [ꄗ dup]
squawk | Yi: v. [ꑻ yuo]
squeak | Yi: v. [ꑻ yuo]
squeal | Yi: v. [ꑻ yuo]
squeeze | Yi: v. [ꇠ gie], [ꈼ mgop]
squint | Yi: v. [ꆈ nuo]
squirrel | Yi: n. [ꀉ ꌺ ax sse]
squirt | Yi: v. [ꁌ pu]
stab | Yi: v. [ꏣ jip], [ꑐ nyie]
stable (building) | Yi: n. [ꂷ ꀕ ma w]
stable (steady) | Yi: adj. [ꐕ qyp]
stack | Yi: n. [ꁧ bbo]
stack | Yi: v. [ꁧ bbo]
staff | Yi: n. [ꆸ lix], [ꁧ ꌩ bbo syr]
stag | Yi: n. [ꀮ ꁧ bu bbo]
stage | Yi: n. [ꄹ ddip]
stagger | Yi: v. [ꑊ ꉭ nyit ngep]
stain | Yi: n. [ꃙ fux]
stain | Yi: v. [ꃙ fux]
stair | Yi: n. [ꄜ ꃀ ti mop]
staircase | Yi: [see "stair"]
stairs | Yi: [see "stair"]
stairway | Yi: [see "stair"]
stake | Yi: n. [ꆸ lix]
stake | Yi: v. [ꋧ zzyt]
stale | Yi: adj. [ꀋ ꃀ ap mop], [ꎭ sha]
stalk (stem) | Yi: n. [ꁮ ꆗ bbu hlit]
stalk (pursue) | Yi: v. [ꉃ mgup]
stall (booth) | Yi: n. [ꆹ ꑳ li yi]
stall (delay) | Yi: v. [ꄗ dup]
stallion | Yi: n. [ꂷ ꁧ ma bbo]
stammer | Yi: v. [ꊂ ꁁ wa pa]
stamp | Yi: v. [ꅥ ndup], [ꋒ zzi]
stanch | Yi: v. [ꁁ ꀕ pa w]
stand | Yi: v. [ꃃ ꄜ mut ti], [ꅇ ddop]
stand still | Yi: v. [ꄗ dup]
stand up | Yi: v. [ꃃ ꄜ mut ti]
standard | Yi: n. [ꆹ ꇐ li lu]
star | Yi: n. [ꃀ ꀮ mop bu]
stare | Yi: v. [ꆈ nuo], [ꆈ ꍮ nuo chex]
start | Yi: v. [ꁧ bbo], [ꂿ ꄜ mo ti]
startle | Yi: v. [ꊢ zut]
starve | Yi: v. [ꈧ ggex], [ꏃ shyp]
state (condition) | Yi: n. [ꄹ ddip], [ꈚ ggat]
state (nation) | Yi: n. [ꇆ lop]
state | Yi: v. [ꊂ ꁧ wa bbo], [ꄂ di]
station | Yi: n. [ꄹ ddip]
stature | Yi: n. [ꀊ ꂱ a mip]
status | Yi: n. [ꄹ ddip]
statute | Yi: n. [ꆹ ꇐ li lu]
staunch | Yi: [see "stanch"]
stay | Yi: v. [ꀜ bie], [ꄗ dup]
steady | Yi: adj. [ꐕ qyp]
steal | Yi: v. [ꈔ ggit]
steam | Yi: n. [ꃅ ꆧ mu hlop]
steam | Yi: v. [ꑌ nyi]
steel | Yi: n. [ꏘ jjie]
steep | Yi: adj. [ꊈ wo]
steep | Yi: v. [ꑏ nyix]
steer | Yi: v. [ꈤ ggo], [ꇯ ꍝ gux zhy]
stem | Yi: n. [ꁮ ꆗ bbu hlit]
stem | Yi: v. [ꁁ ꀕ pa w]
stench | Yi: n. [ꃅ ꅿ mu ni]
step | Yi: n. [ꑭ xy], [ꄜ ꃀ ti mop]
step | Yi: v. [ꋒ zzi], [ꒉ yy]
stern (rear) | Yi: n. [ꊂ wa]
stern (severe) | Yi: adj. [ꀨ bop]
stew | Yi: v. [ꑌ nyi]
stick (rod) | Yi: n. [ꆸ lix], [ꁧ ꌩ bbo syr]
stick (adhere) | Yi: v. [ꁨ bbop]
stick in | Yi: v. [ꏣ jip]
stick out | Yi: v. [ꃃ ꄜ mut ti]
stick to | Yi: v. [ꁨ bbop]
sticky | Yi: adj. [ꁨ bbop]
stiff | Yi: adj. [ꇧ ꇩ guox guop]
stiffen | Yi: v. [ꇧ ꇩ guox guop]
stifle | Yi: v. [ꁁ ꀕ pa w], [ꁫ bbut]
still (motionless) | Yi: adj. [ꀨ ꀕ bop w]
still (nevertheless) | Yi: adv. [ꀃ ꑳ ip yi]
still (quiet) | Yi: v. [ꌥ syx]
stimulate | Yi: v. [ꐏ qup]
sting | Yi: v. [ꏣ jip], [ꑐ nyie]
stink | Yi: v. [ꃅ ꅿ mu ni]
stipulate | Yi: v. [ꄂ di]
stir | Yi: v. [ꄩ tox], [ꒉ yy]
stir up | Yi: v. [ꐏ qup]
stirrup | Yi: n. [ꑭ ꁨ xy bbop]
stitch | Yi: v. [ꅋ ddut]
stock | Yi: n. [ꈉ kop], [ꁧ bbo]
stock | Yi: v. [ꊏ zi]
stole | Yi: [past tense of "steal"]
stolen | Yi: [past participle of "steal"]
stomach | Yi: n. [ꃅ mu]
stone | Yi: n. [ꇓ lur], [ꇓ ꁧ lur bbo]
stone | Yi: v. [ꍞ zhyp]
stood | Yi: [past tense of "stand"]
stool | Yi: n. [ꄗ ꄹ dup ddip]
stoop | Yi: v. [ꂿ ꁈ mo po]
stop | Yi: v. [ꁁ ꀕ pa w], [ꌖ sop], [ꄗ dup]
store | Yi: n. [ꆹ ꑳ li yi]
store | Yi: v. [ꊏ zi], [ꈯ ggur]
storehouse | Yi: n. [ꊏ ꑳ zi yi]
storeroom | Yi: [see "storehouse"]
storey | Yi: [see "story"]
storm | Yi: n. [ꂿ ꃅ mo mu]
storm | Yi: v. [ꂿ mo]
story (tale) | Yi: n. [ꊂ ꁧ wa bbo], [ꅺ ꃶ ꅉ hne vu dde]
story (floor) | Yi: n. [ꀕ ꇬ w go]
stout | Yi: adj. [ꐕ qyp], [ꃚ ꃶ fu vu]
stove | Yi: n. [ꂿ ꀧ mo bo]
stow | Yi: v. [ꊏ zi]
straddle | Yi: v. [ꋑ nyix]
straight | Yi: adj. [ꎃ ꐚ rrop jji], [ꄮ te]
straighten | Yi: v. [ꎃ ꐚ rrop jji]
strain (filter) | Yi: v. [ꍣ cha]
strain (exert) | Yi: v. [ꐏ qup]
strain (tension) | Yi: n. [ꐏ qup]
strainer | Yi: n. [ꁮ ꈜ bbu gga]
strand (shore) | Yi: n. [ꎿ ꁱ shur bbur]
strand (thread) | Yi: n. [ꈜ gga]
strange | Yi: adj. [ꋑ ꀜ nyix bie], [ꀋ ꑳ ap yi]
stranger | Yi: n. [ꀋ ꑳ ꁌ ap yi pu]
strangle | Yi: v. [ꌉ sit], [ꁁ ꀕ pa w]
strap | Yi: n. [ꀺ ꁨ pi bbop]
strap | Yi: v. [ꏢ ji]
stratagem | Yi: n. [ꉪ ꐪ ngop jjup]
strategy | Yi: n. [ꉪ ꐪ ngop jjup]
straw | Yi: n. [ꀮ ꁬ bu bbut]
stray | Yi: v. [ꁧ bbo], [ꎹ shep]
stray | Yi: adj. [ꀋ ꑳ ap yi]
streak | Yi: n. [ꈌ ke]
stream | Yi: n. [ꎿ shur], [ꎿ ꁧ shur bbo]
stream | Yi: v. [ꁌ pu]
street | Yi: n. [ꇤ ga]
strength | Yi: n. [ꐏ qup], [ꐕ qyp]
strengthen | Yi: v. [ꐏ qup]
stress | Yi: n. [ꐏ qup]
stress | Yi: v. [ꐏ qup]
stretch | Yi: v. [ꄳ tup], [ꄣ ta]
strew | Yi: v. [ꀱ bur]
strict | Yi: adj. [ꀨ bop]
stride | Yi: v. [ꋒ zzi]
strife | Yi: n. [ꁉ pop], [ꑻ yuo]
strike | Yi: v. [ꀨ bop], [ꅥ ndup]
string | Yi: n. [ꂭ hmop], [ꈜ gga]
string | Yi: v. [ꅋ ddut]
strip (remove) | Yi: v. [ꄌ duo], [ꇮ get]
strip (narrow piece) | Yi: n. [ꈘ ꆽ ggie lie]
stripe | Yi: n. [ꈌ ke]
strive | Yi: v. [ꐏ qup]
strode | Yi: [past tense of "stride"]
stroke | Yi: n. [ꀨ bop]
stroke | Yi: v. [ꀨ bop], [ꌆ nzyp]
stroll | Yi: v. [ꒉ yy]
strong | Yi: adj. [ꐕ qyp], [ꈜ ꒉ gga yy]
strove | Yi: [past tense of "strive"]
struck | Yi: [past tense of "strike"]
structure | Yi: n. [ꀕ ꑳ w yi]
struggle | Yi: v. [ꐏ qup]
strung | Yi: [past tense of "string"]
strut | Yi: v. [ꒉ yy]
stubble | Yi: n. [ꀮ ꁬ bu bbut]
stubborn | Yi: adj. [ꇧ ꇩ guox guop]
stuck | Yi: [past tense of "stick"]
student | Yi: n. [ꇮ ꌺ get sse]
study | Yi: v. [ꀞ bat], [ꇮ get]
study | Yi: n. [ꀞ bat]
stuff | Yi: n. [ꀙ bip]
stuff | Yi: v. [ꁳ bbyx]
stumble | Yi: v. [ꑊ ꉭ nyit ngep]
stump | Yi: n. [ꁮ ꆗ bbu hlit]
stun | Yi: v. [ꊢ zut]
stung | Yi: [past tense of "sting"]
stunk | Yi: [past tense of "stink"]
stupefy | Yi: v. [ꊢ zut]
stupid | Yi: adj. [ꁭ ꃔ bbux fap], [ꃔ fap]
sturdy | Yi: adj. [ꐕ qyp]
stutter | Yi: v. [ꊂ ꁁ wa pa]
sty | Yi: n. [ꋋ ꀕ cyx w]
style | Yi: n. [ꁱ ꋊ bbur cyt]
subdue | Yi: v. [ꌥ syx], [ꑞ xix]
subject (topic) | Yi: n. [ꀙ bip], [ꊂ ꁧ wa bbo]
subject (under rule) | Yi: n. [ꁌ pu]
subject | Yi: v. [ꌥ syx]
subjugate | Yi: v. [ꌥ syx]
submerge | Yi: v. [ꍘ zhup]
submerse | Yi: [see "submerge"]
submit | Yi: v. [ꁵ bbyp], [ꌤ ꃅ syt mu]
subsequently | Yi: adv. [ꊂ wa]
subside | Yi: v. [ꊈ wo]
subsist | Yi: v. [ꀜ bie]
substance | Yi: n. [ꀙ bip]
substantial | Yi: adj. [ꈜ ꒉ gga yy]
substitute | Yi: v. [ꄀ dit]
substitute | Yi: n. [ꄀ dit]
subtle | Yi: adj. [ꋖ zzy]
subtract | Yi: v. [ꇮ get], [ꌖ sop]
subvert | Yi: v. [ꇤ ga]
succeed | Yi: v. [ꂿ ꈬ mo ggu], [ꀕ ꈬ w ggu]
successful | Yi: adj. [ꂿ ꈬ mo ggu]
succor | Yi: v. [ꐏ qup]
succour | Yi: [see "succor"]
succumb | Yi: v. [ꌤ ꃅ syt mu]
such | Yi: adj. [ꀃ ꑳ ip yi], [ꀋ ꑳ ap yi]
suck | Yi: v. [ꁈ po]
suckle | Yi: v. [ꁈ po]
sudden | Yi: adj. [ꉆ ꐥ hxit jjo]
suddenly | Yi: adv. [ꉆ ꐥ hxit jjo]
sue | Yi: v. [ꀙ bip]
suffer | Yi: v. [ꎬ shax], [ꆅ na]
suffering | Yi: n. [ꎬ shax]
suffice | Yi: v. [ꈬ ggu]
sufficient | Yi: adj. [ꈬ ggu]
suffocate | Yi: v. [ꁁ ꀕ pa w]
sugar | Yi: n. [ꂻ hmox]
sugarcane | Yi: n. [ꂻ ꁬ hmox bbut]
suggest | Yi: v. [ꄜ ti]
suit (clothing) | Yi: n. [ꀺ ꁨ pi bbop]
suit (fit) | Yi: v. [ꂿ ꈬ mo ggu]
suitable | Yi: adj. [ꄮ te], [ꈬ ggu]
sulk | Yi: v. [ꀝ bur]
sullen | Yi: adj. [ꀝ bur]
sully | Yi: v. [ꃙ fux]
sulphur | Yi: [see "sulfur"]
sulfur | Yi: n. [ꐽ njo]
sum | Yi: n. [ꈉ kop], [ꌗ ꂷ sot ma]
sum | Yi: v. [ꌗ sot]
sum up | Yi: v. [ꌗ sot]
summarize | Yi: v. [ꌗ sot]
summary | Yi: n. [ꌗ ꂷ sot ma]
summer | Yi: n. [ꈚ ggat]
summit | Yi: n. [ꀊ ꂥ a hmu]
summon | Yi: v. [ꑬ xy]
sun | Yi: n. [ꑍ nyip]
sunder | Yi: v. [ꁁ pa]
sung | Yi: [past participle of "sing"]
sunk | Yi: [past tense of "sink"]
sunken | Yi: [past participle of "sink"]
sunlight | Yi: n. [ꑗ ꇿ nyo kat]
sunny | Yi: adj. [ꑗ ꇿ nyo kat]
sunrise | Yi: n. [ꑍ ꃃ nyip mut]
sunset | Yi: n. [ꑍ ꊈ nyip wo]
sunshine | Yi: [see "sunlight"]
sup | Yi: v. [ꁈ po]
superb | Yi: adj. [ꉾ he]
superior | Yi: adj. [ꉾ he]
supersede | Yi: v. [ꄀ dit]
supervise | Yi: v. [ꂿ ꌋ mo si]
supper | Yi: n. [ꋍ ꋚ cyp zza]
supplant | Yi: v. [ꄀ dit]
supple | Yi: adj. [ꁫ bbut]
supplicate | Yi: v. [ꑗ ꇖ nyo ly]
supply | Yi: v. [ꁳ bbyx]
supply | Yi: n. [ꀙ bip]
support | Yi: v. [ꐏ qup], [ꁨ bbop]
support | Yi: n. [ꐏ qup]
suppose | Yi: v. [ꄤ tap], [ꉂ mgu]
suppress | Yi: v. [ꇠ gie], [ꈼ mgop]
sure | Yi: adj. [ꄷ ꋌ ddix cy], [ꌬ ssi]
surely | Yi: adv. [ꄷ ꋌ ddix cy]
surface | Yi: n. [ꀸ pit]
surge | Yi: v. [ꃃ ꄜ mut ti]
surmise | Yi: v. [ꄤ tap]
surmount | Yi: v. [ꑞ xix]
surname | Yi: n. [ꃀ ꂷ mop ma]
surpass | Yi: v. [ꑞ xix]
surplus | Yi: n. [ꊂ wa]
surprise | Yi: v. [ꊢ zut]
surprise | Yi: n. [ꇷ gur]
surrender | Yi: v. [ꏀ shyt], [ꌤ ꃅ syt mu]
surround | Yi: v. [ꄩ tox]
survey | Yi: v. [ꆈ nuo]
survive | Yi: v. [ꀜ bie]
suspect | Yi: v. [ꄤ tap]
suspect | Yi: n. [ꌊ ꁈ six po]
suspend | Yi: v. [ꐰ jjyx], [ꄗ dup]
sustain | Yi: v. [ꐏ qup], [ꁨ bbop]
sustenance | Yi: n. [ꋍ ꋚ cyp zza]
swaddle | Yi: v. [ꈩ ggep]
swallow (bird) | Yi: n. [ꀉ ꅪ ax hni]
swallow (ingest) | Yi: v. [ꃅ mu]
swam | Yi: [past tense of "swim"]
swamp | Yi: n. [ꑗ ꇓ nyo lur]
swap | Yi: v. [ꄀ dit]
swarm | Yi: n. [ꁧ bbo]
swarm | Yi: v. [ꁧ bbo]
swat | Yi: v. [ꀨ bop]
swathe | Yi: v. [ꈩ ggep]
sway | Yi: v. [ꄩ tox], [ꁓ pyp]
swear | Yi: v. [ꂿ ꀠ mo ba], [ꌐ sat]
sweat | Yi: n. [ꑋ ꒉ nyix yy]
sweat | Yi: v. [ꁌ pu]
sweep | Yi: v. [ꆫ hlut]
sweet | Yi: adj. [ꂻ hmox]
sweeten | Yi: v. [ꂻ hmox]
swell | Yi: v. [ꃚ ꃶ fu vu]
swelling | Yi: n. [ꃚ fu]
swept | Yi: [past tense of "sweep"]
swerve | Yi: v. [ꑊ ꉭ nyit ngep]
swift | Yi: adj. [ꊸ ca], [ꇨ ꊸ guo ca]
swiftly | Yi: adv. [ꊸ ca]
swim | Yi: v. [ꈤ ggo]
swindle | Yi: v. [ꃔ fap]
swindler | Yi: n. [ꌊ ꁈ six po]
swine | Yi: n. [ꋋ cyx]
swing | Yi: v. [ꄩ tox], [ꐰ jjyx]
swirl | Yi: v. [ꄩ tox]
switch | Yi: v. [ꄀ dit]
swivel | Yi: v. [ꄩ tox]
swollen | Yi: adj. [ꃚ ꃶ fu vu]
swoon | Yi: v. [ꌋ ꎁ si rat]
swoop | Yi: v. [ꃃ ꄜ mut ti]
sword | Yi: n. [ꁧ ꌒ bbo sax]
swore | Yi: [past tense of "swear"]
sworn | Yi: [past participle of "swear"]
swum | Yi: [past participle of "swim"]
swung | Yi: [past tense of "swing"]
symbol | Yi: n. [ꌐ sat]
symbolical | Yi: [see "symbolic"]
symbolize | Yi: v. [ꃚ fu]
symptom | Yi: n. [ꌐ sat]
syrup | Yi: n. [ꋌ ꒉ cy yy]
system | Yi: n. [ꆹ ꇐ li lu]
table | Yi: n. [ꃅ ꇉ mu lo]
tablet | Yi: n. [ꁱ bbur]
tackle | Yi: v. [ꌃ nzyt]
tactics | Yi: n. [ꉪ ꐪ ngop jjup]
tadpole | Yi: n. [ꎿ ꏿ shur qip]
tail | Yi: n. [ꃅ ꐞ mu jjie]
tailor | Yi: n. [ꅋ ꁈ ddut po]
taint | Yi: v. [ꃙ fux]
take | Yi: v. [ꊌ wep], [ꐩ jju], [ꌃ nzyt]
take away | Yi: v. [ꇮ get], [ꊌ wep]
take care | Yi: v. [ꂿ ꌋ mo si]
take down | Yi: v. [ꇮ get]
take off | Yi: v. [ꇮ get]
take out | Yi: v. [ꇮ get]
take up | Yi: v. [ꐏ qup]
taken | Yi: [past participle of "take"]
tale | Yi: n. [ꊂ ꁧ wa bbo], [ꅺ ꃶ ꅉ hne vu dde]
talent | Yi: n. [ꁱ ꋊ bbur cyt]
talk | Yi: v. [ꊂ wa], [ꅇ ddop]
talk | Yi: n. [ꊂ ꁧ wa bbo]
tall | Yi: adj. [ꀊ ꂱ a mip], [ꊑ wex]
tally | Yi: v. [ꌗ sot]
talon | Yi: n. [ꑭ ꊧ xy zyp]
tame | Yi: adj. [ꑌ nyi]
tame | Yi: v. [ꑌ nyi]
tan | Yi: v. [ꄔ dut]
tangle | Yi: v. [ꋊ cyt]
tap | Yi: v. [ꅥ ndup], [ꅑ ꅥ ndit ndup]
taper | Yi: v. [ꁫ bbut]
tar | Yi: n. [ꑗ nyo]
tardy | Yi: adj. [ꉆ ꁮ hxit bbu]
target | Yi: n. [ꄹ ddip]
tarnish | Yi: v. [ꃙ fux]
tarry | Yi: v. [ꄗ dup]
tart (sour) | Yi: adj. [ꎭ sha]
task | Yi: n. [ꀙ bip], [ꌤ syt]
taste | Yi: v. [ꂿ mu]
taste | Yi: n. [ꃅ ꅿ mu ni]
tasty | Yi: adj. [ꂻ hmox]
tattered | Yi: adj. [ꀁ ꁨ ix bbop]
tattle | Yi: v. [ꀠ ba]
taught | Yi: [past tense of "teach"]
taunt | Yi: v. [ꋖ zzy]
taut | Yi: adj. [ꇧ ꇩ guox guop]
tax | Yi: n. [ꎿ ꁦ shur bbox]
tax | Yi: v. [ꎿ shur]
taxicab | Yi: [see "taxi"]
tea | Yi: n. [ꃚ fu]
teach | Yi: v. [ꇮ get], [ꄜ ti]
teacher | Yi: n. [ꇮ ꁈ get po]
team | Yi: n. [ꁧ bbo]
tear (rip) | Yi: v. [ꁁ pa], [ꃪ vat]
tear (weep) | Yi: n. [ꏼ qiep]
tear | Yi: n. [ꄴ ꈌ turx ke]
tease | Yi: v. [ꋖ zzy]
teat | Yi: n. [ꂿ ꂵ mo mat]
technique | Yi: n. [ꁱ ꋊ bbur cyt]
teem | Yi: v. [ꁳ bbyx]
teeth | Yi: [plural of "tooth"]
tell | Yi: v. [ꊂ wa], [ꊂ ꁧ wa bbo], [ꀠ ba]
temper | Yi: n. [ꀝ bur]
temper | Yi: v. [ꁫ bbut]
tempest | Yi: n. [ꂿ ꃅ mo mu]
temple (building) | Yi: n. [ꂡ ꀕ hmo w]
temple (head) | Yi: n. [ꀍ uo]
temporary | Yi: adj. [ꀋ ꃉ ap myt]
tempt | Yi: v. [ꃔ fap]
ten | Yi: num. [ꍪ che]
tend (care for) | Yi: v. [ꂿ ꌋ mo si]
tend (incline) | Yi: v. [ꊈ wo]
tender (soft) | Yi: adj. [ꁫ bbut], [ꑵ yiet]
tender (offer) | Yi: v. [ꁳ bbyx]
tendon | Yi: n. [ꏺ ꈜ jux gga]
tense | Yi: adj. [ꇧ ꇩ guox guop]
tension | Yi: n. [ꐏ qup]
tent | Yi: n. [ꀕ ꑳ w yi]
term | Yi: n. [ꉈ hxi], [ꊂ wa]
terminate | Yi: v. [ꌖ sop], [ꁧ bbo]
terrain | Yi: n. [ꄹ ddip]
terrible | Yi: adj. [ꌊ six]
terrify | Yi: v. [ꊢ zut]
territory | Yi: n. [ꄹ ddip], [ꈚ ggat]
terror | Yi: n. [ꇷ gur]
terrorize | Yi: v. [ꊢ zut]
test | Yi: v. [ꃣ vix], [ꆈ nuo]
test | Yi: n. [ꃣ ꈌ vix ke]
testify | Yi: v. [ꀠ ba]
testimony | Yi: n. [ꊂ ꁧ wa bbo]
tether | Yi: v. [ꏢ ji]
text | Yi: n. [ꁱ bbur]
than | Yi: conj. [ꀉ ꉬ ax nge]
thank | Yi: v. [ꐽ ꈬ njo ggu]
that | Yi: pron. [ꀉ ax], [ꀉ ꀙ ax bip]
that | Yi: conj. [ꄉ da]
thatch | Yi: n. [ꀮ ꁬ bu bbut]
thatch | Yi: v. [ꄯ tep]
thaw | Yi: v. [ꁫ bbut]
the | Yi: [no article in Yi]
theatre | Yi: [see "theater"]
thee | Yi: pron. [ꀊ a]
theft | Yi: n. [ꈔ ggit]
their | Yi: pron. [ꀉ ꄉ ax da]
theirs | Yi: pron. [ꀉ ꄉ ax da]
them | Yi: pron. [ꀉ ax]
themselves | Yi: pron. [ꀃ ꅉ ip dde]
then | Yi: adv. [ꀋ ꃉ ap myt], [ꀋ ꉊ ap hxiet]
thence | Yi: adv. [ꀋ ꉊ ꃀ ap hxiet mop]
there | Yi: adv. [ꀉ ꄹ ax ddip]
thereabouts | Yi: [see "thereabout"]
thereafter | Yi: adv. [ꊂ wa]
therefore | Yi: adv. [ꄉ ꃅ da mu]
these | Yi: pron. [ꀉ ax], [ꀉ ꀙ ax bip]
they | Yi: pron. [ꀉ ax]
thick | Yi: adj. [ꃚ fu], [ꃚ ꃶ fu vu]
thicken | Yi: v. [ꃚ ꃶ fu vu]
thicket | Yi: n. [ꌩ syr]
thief | Yi: n. [ꈔ ꁈ ggit po]
thieve | Yi: v. [ꈔ ggit]
thigh | Yi: n. [ꑭ xy]
thin | Yi: adj. [ꇧ ꀠ guox bba], [ꈢ ꏻ ggot jyr]
thine | Yi: pron. [ꀊ ꄉ a da]
thing | Yi: n. [ꀙ bip]
think | Yi: v. [ꄤ tap], [ꉂ mgu]
thirst | Yi: n. [ꑏ nyix]
thirst | Yi: v. [ꑏ nyix]
thirsty | Yi: adj. [ꑏ nyix]
this | Yi: pron. [ꀉ ax], [ꀃ ip]
thither | Yi: adv. [ꀉ ꄹ ax ddip]
thong | Yi: n. [ꂭ hmop]
thorn | Yi: n. [ꁧ ꆸ bbo lix]
thorough | Yi: adj. [ꀃ ꐛ ip jjip]
thoroughly | Yi: adv. [ꀃ ꐛ ip jjip]
those | Yi: pron. [ꀉ ax]
thou | Yi: pron. [ꀊ a]
though | Yi: conj. [ꄉ da]
thought | Yi: n. [ꅉ ꄤ dde tap]
thought | Yi: [past tense of "think"]
thousand | Yi: num. [ꌕ se]
thrash | Yi: v. [ꀨ bop]
thread | Yi: n. [ꈜ gga]
thread | Yi: v. [ꅋ ddut]
threaten | Yi: v. [ꊢ zut]
three | Yi: num. [ꌕ suo]
thresh | Yi: v. [ꀨ bop]
threshold | Yi: n. [ꀕ ꁱ w bbur]
threw | Yi: [past tense of "throw"]
thrive | Yi: v. [ꉾ he]
throat | Yi: n. [ꃅ ꐬ mu jjur]
